,text
0,maintainers
1,omnibus builds are already in pain so merging to fix those
2,client core reviewage lets not think too hard about the breakpoint resource itself just picked it because its the shortest bit of provider code out there
3,this blows up because allow downgrades is not supported there so you ll need to figure out the first versions of ubuntu and debian that can safely support this and conditionally add the flag
4,know granquist and are going to be unhappy about this one this is absolutely short term fix until we get choco on the windows jenkins nodes like it was before our system failure
5,no that absolutely the right thing to do
6,trailing comma is trolling you
7,yolo link fixing
8,should get added too missed adding it to the release notes in my pr
9,might also be cool to do this for node platform version in the ohai loading we could do something like automatic platform version versionstring new automatic platform version
10,the hack might be too much would be cool if everyone else wants to just do the fancy operator and skip the case magic
11,yeah probably not the monkeypatching of
12,okay the trickery is gone and chef config is no longer wrecked
13,chefstyle needs care and feeding
14,and now fingers crossed that this doesn some how jam the bumpbot
15,would rather we just leave it as invalid and surface the bundler error to the user it just like you ve requested an invalid cookbook dependency should be fatal error not warning
16,unfortunately it would be totally valid that two cookbooks want to install the same gem with the same options install from the same git repo but currently it would produce an invalid gemfile in that case edit ah nvm you mean replacing the warning with fatal error yes that makes sense
17,we should check that the values are compatible then make sure it still an error if two cookbooks do actually request differing versions of the same gem and whatnot
18,changed the request to fail directly whenever we would have directly conflicting requirements further checking if values are compatible might be quite complicated and is probably better done by bundler
19,think we need to get to point where running these tests on fipsified system actually ensures fipsiness so let pass through the read want to get fips windows node and fips linux node in to the test matrix soon
20,makes me bit twitchy should really be allow file to recieve read and call original which is much clearer that the problem is that you re working around the stub on the next line blocking other arguments and it feels like it should bit more explicitly test this setup the non fips case and explicitly mock it out to run non fips even on fips box and then mock it to fips and make sure the behavior is correct even on non fips box
21,closes
22,we ll want to put the ohai plugin deprecation note in there for this release though
23,looks correct it looks like we were testing the broken behavior so existing tests just need to be changed to return systemd correctly and the use cases for systemd everything else at the same time all look right with everything defaulting to systemd except in the case where only an upstart script exists which is probably not going to work anyways but its certainly the best we could ever do and we can let the os fail in that case
24,this is super frustrating bug that love to have fixed
25,could have sworn that the fixed behavior was the way it worked all along
26,yeah in we had this test ruby shared examples for an ubuntu platform with upstart update rc and systemd do before do stub service providers debian invokercd upstart systemd end it when only the sysv init script exists it returns service debian provider do allow chef platform servicehelpers to receive config for service with ntp and return initd systemd expect resolved provider to eql chef provider service systemd end so this likely broke in
27,looks like it was actually always broken with the new solver diff db ebfc in rc
28,travis appveyor hate you but the code looks right
29,hey what the fundamental problem or problems you re trying to solve with such change is pulling the oss docs out of chef web docs the only way to achieve it them as member of the doc team strongly in favor of keeping the docs together and feel having the oss content split into their respective repos would lead to poor user experience overall scenario content that crosses multiple technologies having common ia and keeping one place for people to submit doc updates are few reasons that have for keeping all of the content in one repo instead of having this conversation in pr comments open to discussing this through zoom with folks in person at chefconf or in some other fashion
30,this makes me nervous as structural thing if user requests depth we should probably honor that or error clearly
31,you have valid point we use this for specific instances where both uploadarchive allowunreachable and uploadpack allowreachablesha inwant are enabled on the git server this allows pulls fetches using any commit id not just advertised references this type of un shallowing is also used within some builds systems for similar conditions if it would be better to explicitly fail under this condition for the largest group of consumers then we probably shouldn change the behavior if we think it would be useful and warrants the addition or change to the attributes actions on the resource can certainly provide that as well let me know either way what your opinion is on this we have this code as stand alone cookbook and leverage the dsl that way so if this pr isn accepted it isn the end of the world just wanted to provide the community with an opportunity to have this functionality available natively if desired thanks
32,not sure the targeted for chef deprecations should be here
33,it looks like missing the dco portion of this request ll address this and resubmit thanks everyone
34,ll resubmit with the dco requirements in place thanks
35,you can just force push to your branch after running dco sign
36,oooh thanks ve already redone this pr but will definetly use that for next time
37,ci failure test server not starting jenkins test this
38,efb
39,
40,jenkins test this
41,cc
42,jenkins test this
43,backported to by fb edef bdff af by cb fea bab ac abf by cacf bc
44,revert in
45,we have determined to not fix path plugins the flag will be deprecated in and removed in as such we do not need to fix multivalued options as we do not need them in this way thanks for taking the time to write this we hope you continue to support and enhance logstash in the future
46,lgtm merged as
47,nice to see the lambdas
48,thanks rather than hard coding some additional media types think it would be better to check for compatibility against xml that would mean that standard media types like application xml text xml and application rss xml are all supported as well as custom media types like application vnd com example xml would you like to update your pr to do that
49,thanks for your feedback glad to update the pr and now doing the following java private boolean iscompatiblewithxml mediatype contenttype mediatype xmlmediatype new mediatype xml return xmlmediatype iscompatiblewith contenttype but since the type is even application json is valid for xml pretty sure misunderstood something in the process to do this could you provide any hint thanks in advance
50,nope you haven misunderstood using check against xml was wishful thinking on my part we could check for application xml text xml application xml and text xml but that would still miss custom xml media types as well as things like image svg xml now think that the most robust approach would be to treat the content as json by default if that throws an exception then try xml if that throws an exception then give up
51,thank you for your efforts here there more time pressure than usual here as release is needed for spring boot so ve fixed in projects spring restdocs commit eb bea thanks anyway
52,thank you for the pr but there was bit more to this please see the changes made in projects spring restdocs commit ae eaf edc ac and projects spring restdocs commit df fd ffce for the details
53,please sign the contributor license agreement repositoryid spring projects spring restdocs pullrequestid click here repositoryid spring projects spring restdocs pullrequestid to manually synchronize the status of this pull request see the faq for frequently asked questions
54,thank you for signing the contributor license agreement repositoryid spring projects spring restdocs pullrequestid
55,well spotted thanks very much for the pr
56,thank you
57,thank you
58,thanks once again
59,you ve done it again thank you very much
60,thanks for the pr resourcebundleconstraintdescriptionresolver constructor will throw missingresourceexception did you mean resourcebundleconstraintdescriptionresolver here its constructor doesn do much and won throw missingresourceexception that can see as things stand when constraint is encountered for which there is no description constraintdescriptions descriptionsforproperty string will throw an exception that identifies the constraint java util missingresourceexception can find resource for bundle java util propertyresourcebundle key org hibernate validator constraints time durationmin description at java util resourcebundle getobject resourcebundle java at java util resourcebundle getstring resourcebundle java at org springframework restdocs constraints resourcebundleconstraintdescriptionresolver getdescription resourcebundleconstraintdescriptionresolver java at org springframework restdocs constraints resourcebundleconstraintdescriptionresolver resolvedescription resourcebundleconstraintdescriptionresolver java at org springframework restdocs constraints constraintdescriptions descriptionsforproperty constraintdescriptions java think that good thing as it makes it clear that there constraint that needs to be described with your proposed change the undescribed constraint will be ignored as result the documentation may fail to describe constraint this goes against the spring rest docs ethos which is to make your tests fail if your documentation is inaccurate or incomplete have misunderstood the intent of your change
61,my apologies mis summarized the issue the exceptionininitializererror is due to how using spring rest docs not in spring rest docs itself ve updated the title and description of this issue appropriately here the stack trace java util missingresourceexception can find resource for bundle java util propertyresourcebundle key org hibernate validator constraints time durationmin description at java util resourcebundle getobject resourcebundle java at java util resourcebundle getstring resourcebundle java at org springframework restdocs constraints resourcebundleconstraintdescriptionresolver getdescription resourcebundleconstraintdescriptionresolver java at org springframework restdocs constraints resourcebundleconstraintdescriptionresolver resolvedescription resourcebundleconstraintdescriptionresolver java at org springframework restdocs constraints constraintdescriptions descriptionsforproperty constraintdescriptions java at com example sometest withpath sometest java and that line from com example sometest withpath is new constraintdescriptions myentity class descriptionsforproperty duration where myentity duration is defined as hibernate validator constraints time durationmin days private duration duration using hibernate validator to get durationmin which if you re using spring boot and maven can be done by adding these properties to pom xml alpha alpha don think it makes sense for org springframework restdocs constraints constraintdescriptions descriptionsforproperty to throw missingresourceexception if no descriptions are found would and did expect it to return an empty list and that the change this pr makes
62,thanks don think it makes sense for org springframework restdocs constraints constraintdescriptions descriptionsforproperty to throw missingresourceexception if no descriptions are found would and did expect it to return an empty list and that the change this pr makes ok so understood the intent correctly here what said about this above with your proposed change the undescribed constraint will be ignored as result the documentation may fail to describe constraint this goes against the spring rest docs ethos which is to make your tests fail if your documentation is inaccurate or incomplete thanks again for the pr but want to keep the current behaviour
63,makes sense and thank you for the rapid and thoughtful response how do you suggest such situation be handled obviously eventually spring rest docs will have the properties file updated for the new annotations but what do you recommend users do in the mean time for example is there different user controllable properties file that one could update to document such constraints
64,is there different user controllable properties file that one could update to document such constraints yes restdocs docs current reference html documenting your api constraints describing
65,thanks for the feedback think can do the changes but this may take until the next weekend
